1,BCRP,MDR1,MRP1,MRP2,MRP3,MRP4,MRP5,MRP6,MRP7,MRP8,MRP9,SMILES
8-HOUR BAYER; ASPIRIN,-5.3,-6.4,-5.1,-4.9,-4.1,-5.1,-9.3,-4.1,-3.5,-4.2,-6.6,CC(=O)Oc1ccccc1C(=O)[O-]
8-MOP; METHOXSALEN,-8.0,-6.4,-4.8,-3.9,-4.7,-4.7,-3.8,-3.9,-4.7,-5.7,-3.4,COc1c2occc2cc2ccc(=O)oc12
A-POXIDE; CHLORDIAZEPOXIDE HYDROCHLORIDE,-10.1,-10.7,-7.9,-6.9,-7.9,-6.9,-8.5,-6.2,-4.4,-9.7,-9.5,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
ABACAVIR AND LAMIVUDINE; LAMIVUDINE,-7.1,-6.3,-5.9,-6.7,-5.0,-5.0,-7.4,-5.6,-5.2,-4.6,-6.7,Nc1ccn([C@H]2CS[C@H](CO)O2)c(=O)n1
"ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE; ZIDOVUDINE",-6.8,-7.6,-5.5,-4.6,-5.3,-5.1,-6.6,-4.4,-5.0,-3.8,-5.0,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
ABACAVIR; ABACAVIR,-6.3,-8.4,-5.0,-5.7,-4.5,-5.2,-6.4,-4.0,-6.3,-5.4,-6.0,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1
ABILIFY; ARIPIPRAZOLE,-9.1,-7.6,-6.6,-5.1,-7.0,-7.8,-6.5,-5.0,-3.6,-7.0,-6.4,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
ABRAXANE; PACLITAXEL,-8.3,-6.2,-10.6,-9.4,-6.1,-8.7,-6.6,-6.5,-7.9,-6.5,-11.2,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
ABSORICA; ISOTRETINOIN,-8.3,-7.3,-6.3,-4.7,-5.1,-6.7,-8.4,-3.9,-4.0,-7.3,-8.1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)[O-])C(C)(C)CCC1
ABSTRAL; FENTANYL CITRATE,-8.1,-8.0,-5.0,-4.8,-5.8,-6.8,-6.2,-5.5,-6.2,-5.6,-6.4,Fc1ccc(/C=N/N2CCN(c3ccccc3)CC2)cc1F
ACARBOSE; ACARBOSE,-14.4,-13.8,-16.2,-13.2,-14.1,-14.7,-13.1,-13.9,-13.5,-11.3,-12.9,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
ACCOLATE; ZAFIRLUKAST,-8.6,-10.5,-8.8,-6.3,-7.6,-9.0,-9.6,-7.5,-2.2,-5.5,-7.6,COc1cc(C(=O)[N-]S(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
ACCUNEB; ALBUTEROL SULFATE,-4.8,-8.1,-5.9,-5.5,-6.8,-5.6,-5.2,-5.8,-4.1,-5.1,-5.3,CC(C)(C)[NH2+]C[C@H](O)c1ccc(O)c(CO)c1
